Date,Open,High,Low,Close,Adj Close,Volume
1/14/2019,60.119999,60.790001,60.080002,60.41,56.769974,2487500
1/15/2019,60.5,60.939999,60.139999,60.419998,56.779369,1976400
1/16/2019,60,60.200001,59.799999,60.029999,56.412872,2873300
1/17/2019,59.48,60.290001,59.43,60.18,56.553833,1965800
1/18/2019,61,61.299999,60.810001,61.07,57.390205,2808600
1/22/2019,59.900002,60.150002,59.41,59.619999,56.027573,3942300
1/23/2019,59.360001,59.459999,58.580002,58.91,55.360359,3959200
1/24/2019,58.799999,59.43,58.669998,58.84,55.294575,2734400
1/25/2019,59.43,59.450001,59.130001,59.169998,55.604687,2296600
1/28/2019,58.34,58.68,58.119999,58.610001,55.078434,2491100
1/29/2019,58.880001,59.27,58.66,58.84,55.294575,2878600
1/30/2019,59.799999,59.810001,59.259998,59.560001,55.971191,3088100
1/31/2019,61.93,62.34,61.59,61.73,58.010433,5630400
2/1/2019,62.259998,62.84,61.990002,62.84,59.053555,3839800
2/4/2019,62.869999,63.43,62.669998,63.41,59.589207,3097800
2/5/2019,63.540001,63.790001,63.459999,63.68,59.842941,2955300
2/6/2019,63.259998,63.98,63.23,63.84,59.993298,3249600
2/7/2019,63.349998,63.490002,62.560001,62.84,59.053555,3046500
2/8/2019,62.599998,63.110001,62.259998,62.900002,59.10994,2893500
2/11/2019,62.310001,62.650002,62.169998,62.470001,58.705849,1982000
2/12/2019,63.200001,63.450001,62.880001,63.16,59.354267,2396900
2/13/2019,63.139999,63.380001,62.93,63.049999,59.2509,3071200
2/14/2019,62.060001,62.5,61.970001,62.099998,59.241356,2909100
2/15/2019,62.259998,62.73,62.139999,62.560001,59.680187,3339800
2/19/2019,62.27,63.27,62.25,63.150002,60.243027,1856100
2/20/2019,62.919998,63.66,62.919998,63.290001,60.376579,2317100
2/21/2019,62.900002,63.119999,62.209999,62.360001,59.489395,2833500
2/22/2019,62.939999,62.950001,62.5,62.669998,59.785118,1667400
2/25/2019,62.68,62.869999,62.34,62.549999,59.670647,1771900
2/26/2019,62.639999,63.09,62.48,62.48,59.603867,2345500
2/27/2019,62.849998,62.950001,62.490002,62.509998,59.632488,3261000
2/28/2019,62.700001,62.700001,62.150002,62.209999,59.346298,2679700
3/1/2019,62.23,62.59,62.049999,62.32,59.451233,2424500
3/4/2019,62.27,62.470001,61.790001,62.290001,59.422615,2292800
3/5/2019,62.09,62.580002,62.080002,62.380001,59.508472,1847500
3/6/2019,62.459999,62.59,62.189999,62.389999,59.518009,1857400
3/7/2019,62,62.099998,61.540001,61.57,58.735756,2558100
3/8/2019,60.419998,60.84,60.299999,60.799999,58.001198,5032600
3/11/2019,60.91,61.380001,60.880001,61.23,58.411407,2527000
3/12/2019,61.09,61.650002,61.09,61.34,58.516346,2872800
3/13/2019,62.299999,63.049999,62.209999,62.990002,60.090389,3832100
3/14/2019,63.110001,63.330002,63,63.049999,60.147629,2569000
3/15/2019,63.169998,63.5,63.09,63.290001,60.376579,2893900
3/18/2019,63.709999,64.190002,63.66,64.089996,61.139751,2558700
3/19/2019,64.57,64.650002,63.860001,63.950001,61.006199,2922100
3/20/2019,63.970001,64.739998,63.709999,64.480003,61.511806,2543000
3/21/2019,64.349998,64.410004,63.950001,64.080002,61.130219,1966400
3/22/2019,63.639999,63.689999,62.740002,62.880001,59.985455,3338100
3/25/2019,63.029999,63.200001,62.529999,62.790001,59.899597,2329700
3/26/2019,63.419998,63.790001,63.130001,63.200001,60.290722,2473000
3/27/2019,62.880001,63.099998,62.240002,62.580002,59.699268,2942900
3/28/2019,62.43,62.720001,62.310001,62.639999,59.7565,1842500
3/29/2019,63.150002,63.16,62.509998,62.59,59.708801,2355900
4/1/2019,63.419998,63.459999,63.169998,63.279999,60.367039,2307400
4/2/2019,63.439999,63.619999,63.25,63.509998,60.586456,1947700
4/3/2019,63.990002,64.160004,63.619999,63.82,60.882183,2484900
4/4/2019,63.799999,63.990002,63.450001,63.970001,61.02528,1574500
4/5/2019,64.190002,64.629997,64.059998,64.519997,61.549953,3073600
4/8/2019,65.160004,65.349998,64.970001,65.300003,62.294064,3245500
4/9/2019,65.050003,65.059998,64.540001,64.57,61.597656,2283100
4/10/2019,64.870003,65.309998,64.739998,65.010002,62.017403,2505100
4/11/2019,65.019997,65.07,64.68,64.919998,61.931545,2139800
4/12/2019,65.120003,65.18,64.459999,64.5,61.53088,3135100
4/15/2019,64.800003,64.830002,64.279999,64.580002,61.607201,2450600
4/16/2019,64.510002,64.589996,64.279999,64.300003,61.340092,1700200
4/17/2019,64.739998,64.800003,64.449997,64.589996,61.616734,2633900
4/18/2019,64.32,64.410004,64.019997,64.199997,61.244686,1835400
4/22/2019,64.559998,65.410004,64.559998,65.239998,62.236816,1492200
4/23/2019,65.25,65.389999,64.940002,65,62.007862,2110700
4/24/2019,64.290001,64.290001,63.43,63.459999,60.538757,2829000
4/25/2019,63.630001,63.939999,63.490002,63.619999,60.691391,2044000
4/26/2019,63.330002,63.330002,62.639999,63.060001,60.157169,2914000
4/29/2019,62.73,63.169998,62.59,63.130001,60.223946,1532400
4/30/2019,63.700001,63.82,63.369999,63.529999,60.605534,2673000
5/1/2019,63.5,63.509998,62.700001,62.720001,59.832821,2342400
5/2/2019,64.360001,64.470001,63.68,63.700001,60.767708,3241200
5/3/2019,64.800003,64.860001,64.239998,64.290001,61.330547,2345800
5/6/2019,63.560001,64.370003,63.490002,64.110001,61.158833,2673400
5/7/2019,62.580002,62.650002,61.810001,62.23,59.365376,5245500
5/8/2019,62.59,63.139999,62.439999,62.709999,59.82328,3587200
5/9/2019,62.639999,63.299999,62.549999,63.130001,60.223946,2092200
5/10/2019,62.959999,63.639999,62.810001,63.549999,60.624615,1966400
5/13/2019,63.970001,64.190002,63.169998,63.380001,60.462437,2330100
5/14/2019,63.91,64.489998,63.849998,64.110001,61.158833,1929300
5/15/2019,64.050003,64.919998,63.93,64.860001,61.87431,2753600
5/16/2019,64.190002,64.559998,64.080002,64.260002,62.20343,1996200
5/17/2019,64.410004,64.650002,64.160004,64.269997,62.213104,2278200
5/20/2019,64.449997,64.699997,64.150002,64.43,62.367989,1867400
5/21/2019,64.75,64.919998,64.43,64.470001,62.406708,2916900
5/22/2019,64.449997,64.599998,63.709999,63.720001,61.68071,2848300
5/23/2019,62.799999,62.799999,62.169998,62.459999,60.461033,3338200
5/24/2019,63.130001,63.349998,62.790001,63.299999,61.274151,1894400
5/28/2019,63.330002,63.490002,62.540001,62.560001,60.557838,1832400
5/29/2019,61.84,62.389999,61.779999,62.360001,60.364235,2376800
5/30/2019,62.43,62.52,62.040001,62.279999,60.286793,2633000
5/31/2019,61.75,62.32,61.669998,61.810001,59.831841,2556000
6/3/2019,62.369999,62.650002,62.049999,62.380001,60.383595,2311100
6/4/2019,62.09,62.490002,61.810001,62.48,60.480396,3404400
6/5/2019,63.169998,63.18,62.25,62.759998,60.751431,3493000
6/6/2019,63.130001,63.740002,63.130001,63.619999,61.583908,2607800
6/7/2019,64.019997,64.650002,63.93,64.480003,62.416389,2327300
6/10/2019,64.480003,64.639999,64.220001,64.279999,62.222786,1681500
6/11/2019,65.010002,65.040001,64.489998,64.510002,62.445431,2348000
6/12/2019,64.099998,64.199997,63.380001,63.490002,61.458069,1995900
6/13/2019,63.93,63.970001,63.5,63.75,61.709751,1678000
6/14/2019,63.459999,63.599998,63.310001,63.43,61.399994,1315100
6/17/2019,62.889999,63.41,62.790001,62.919998,60.906311,1929800
6/18/2019,63.700001,64.040001,63.599998,63.919998,61.874306,1872800
6/19/2019,64.199997,64.519997,64.07,64.379997,62.319584,1663800
6/20/2019,65.5,65.760002,65.160004,65.519997,63.423096,2520100
6/21/2019,65.839996,66.029999,65.389999,65.699997,63.597336,2329300
6/24/2019,65.889999,65.989998,65.690002,65.860001,63.75222,1687800
6/25/2019,66,66.110001,65.720001,65.760002,63.655426,1771300
6/26/2019,66.279999,66.480003,66.010002,66.010002,63.897423,1986800
6/27/2019,65.720001,65.75,65.07,65.089996,63.006863,3421800
6/28/2019,65.309998,65.449997,64.940002,65.07,62.987507,2172500
7/1/2019,66.360001,66.360001,65.190002,65.199997,63.113338,2452100
7/2/2019,66.010002,66.010002,65.050003,65.110001,63.026222,2389200
7/3/2019,64.870003,64.93,64.599998,64.68,62.609989,1443500
7/5/2019,64.589996,64.68,64.32,64.589996,62.522865,1721200
7/8/2019,64.449997,64.720001,64.339996,64.419998,62.358303,2568100
7/9/2019,64.400002,64.580002,64.190002,64.440002,62.37767,1351000
7/10/2019,65.040001,65.32,64.919998,65.239998,63.152058,1713000
7/11/2019,65.57,65.620003,65.07,65.379997,63.287579,1691200
7/12/2019,65.110001,65.230003,64.919998,65.059998,62.977821,1032500
7/15/2019,65.040001,65.059998,64.449997,64.5,62.435745,1626800
